"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         167,      -4.444644427,      -1.993620144,      -3.668693628,     -0.2593196305,        -2.0144824,       3.332253066
          0,           0,         168,      -4.446757492,      -1.995450368,      -3.671512236,     -0.2615345934,      -2.010272321,       3.327722944
          0,           0,         169,        -4.4488526,      -1.997255234,      -3.674817571,     -0.2637622929,        -2.0061735,       3.323221544
          0,           0,         170,      -4.450929451,      -1.999034703,      -3.678819812,     -0.2660099425,      -2.002184539,        3.31874689
          0,           0,         171,       -4.45298778,      -2.000788753,      -3.683626764,     -0.2682783515,      -1.998303792,       3.314295705
          0,           0,         172,      -4.455027379,      -2.002517394,       -3.68925441,     -0.2705635567,      -1.994529008,       3.309863898
          0,           0,         173,      -4.457048107,      -2.004220677,       -3.69564593,     -0.2728581928,      -1.990858677,       3.305447542
          0,           0,         174,      -4.459049892,      -2.005898683,      -3.702694654,      -0.275154086,      -1.987291746,       3.301042615
          0,           0,         175,      -4.461032729,      -2.007551525,      -3.710266923,     -0.2774424125,      -1.983827519,       3.296645742
          0,           0,         176,      -4.462996647,      -2.009179351,      -3.718220709,     -0.2797147997,      -1.980465369,        3.29225459
          0,           0,         177,      -4.464941694,      -2.010782341,      -3.726420106,      -0.281963564,       -1.97720367,       3.287868253
          0,           0,         178,      -4.466867912,      -2.012360681,      -3.734742521,     -0.2841822007,      -1.974040559,       3.283486643
          0,           0,         179,      -4.468775319,      -2.013914572,      -3.743081079,     -0.2863645728,       -1.97097526,       3.279110347
          0,           0,         180,      -4.470663909,      -2.015444236,       -3.75134052,     -0.2885053299,      -1.968009341,       3.274740435
          0,           0,         181,      -4.472533639,      -2.016949898,      -3.759429432,     -0.2905998862,      -1.965142805,        3.27037803
          0,           0,         182,      -4.474384432,      -2.018431796,      -3.767252469,     -0.2926438204,      -1.962373615,       3.266024819
